hours_ahead,rows,mae,rmse,bias,persist_mae,gain_mae,rel_improvement_pct
1,27872,0.000886,0.008851,-0.000764,0.000139,-0.000747,-538.71
3,13753,0.000359,0.004404,-0.000359,0.0,-0.000359,0.0
